Communications,Experiences,Values,Empathy,Respect,Acquiesce,Self-righteous,Divorce Status
0.5,0.32142857142857145,0.1,0.027777777777777776,0.625,0.5833333333333334,0.3125,1
0.625,0.9642857142857143,0.75,0.2777777777777778,0.45,0.375,0.0625,1
0.4375,0.4642857142857143,0.625,0.4444444444444444,0.55,0.375,0.625,1
0.40625,0.6428571428571429,0.75,0.3333333333333333,0.5,0.4166666666666667,0.25,1
0.59375,0.32142857142857145,0.225,0.19444444444444445,0.825,0.5833333333333334,0.4375,1
0.34375,0.2857142857142857,0.2,0.1111111111111111,0.675,0.5833333333333334,0.6875,1
0.53125,0.39285714285714285,0.65,0.6388888888888888,0.55,0.25,0.3125,1
0.21875,0.7857142857142857,0.6,0.5277777777777778,0.675,0.5833333333333334,0.5625,1
0.40625,0.5357142857142857,0.725,0.6111111111111112,0.75,0.5833333333333334,0.75,1
0.4375,0.5,0.225,0.19444444444444445,0.65,0.5416666666666666,0.5,1
0.46875,1.0,0.95,0.9444444444444444,0.0,0.0,0.0,1
0.46875,1.0,0.95,0.9444444444444444,0.0,0.0,0.0,1
0.4375,0.8571428571428571,0.875,0.8888888888888888,0.0,0.0,0.0,1
0.4375,0.8571428571428571,0.875,0.8888888888888888,0.0,0.0,0.0,1
0.4375,0.8571428571428571,0.875,0.8888888888888888,0.0,0.041666666666666664,0.0,1
0.40625,0.9642857142857143,0.85,0.8611111111111112,0.0,0.0,0.0,1
0.40625,0.9642857142857143,0.85,0.8611111111111112,0.0,0.0,0.0,1
0.53125,1.0,0.95,0.9444444444444444,0.1,0.125,0.125,1
0.4375,0.7857142857142857,0.85,0.8333333333333334,0.0,0.0,0.0,1
0.53125,1.0,0.95,0.9444444444444444,0.1,0.125,0.125,1
0.40625,0.8571428571428571,0.825,0.8333333333333334,0.0,0.0,0.0,1
0.40625,0.8571428571428571,0.825,0.8333333333333334,0.0,0.0,0.0,1
0.53125,0.8928571428571429,0.925,0.9166666666666666,0.1,0.16666666666666666,0.125,1
0.40625,0.75,0.8,0.8055555555555556,0.0,0.0,0.0,1
0.40625,0.75,0.8,0.8055555555555556,0.0,0.0,0.0,1
0.40625,0.75,0.8,0.8055555555555556,0.0,0.0,0.0,1
0.40625,0.7857142857142857,0.8,0.7777777777777778,0.0,0.041666666666666664,0.0,1
0.40625,0.75,0.8,0.8055555555555556,0.0,0.041666666666666664,0.0,1
0.375,0.8571428571428571,0.775,0.7777777777777778,0.0,0.0,0.0,1
0.375,0.8571428571428571,0.775,0.7777777777777778,0.0,0.0,0.0,1
0.375,0.8571428571428571,0.775,0.7777777777777778,0.0,0.0,0.0,1
0.5,0.8928571428571429,0.875,0.8611111111111112,0.1,0.125,0.125,1
0.5,0.8571428571428571,0.875,0.8888888888888888,0.1,0.125,0.125,1
0.375,0.8214285714285714,0.775,0.8055555555555556,0.0,0.041666666666666664,0.0,1
0.5,0.8928571428571429,0.875,0.8611111111111112,0.1,0.125,0.125,1
0.375,0.75,0.75,0.75,0.0,0.0,0.0,1
0.4375,0.8571428571428571,0.825,0.8333333333333334,0.1,0.08333333333333333,0.125,1
0.34375,0.7857142857142857,0.775,0.8055555555555556,0.025,0.16666666666666666,0.0625,1
0.34375,0.7857142857142857,0.775,0.8055555555555556,0.025,0.16666666666666666,0.0625,1
0.46875,0.8571428571428571,0.825,0.8333333333333334,0.1,0.125,0.125,1
0.375,0.6428571428571429,0.725,0.7222222222222222,0.0,0.041666666666666664,0.0,1
0.34375,0.75,0.7,0.6944444444444444,0.0,0.0,0.0,1
0.46875,0.8571428571428571,0.825,0.8333333333333334,0.15,0.125,0.125,1
0.34375,0.75,0.7,0.6944444444444444,0.0,0.0,0.0,1
0.34375,0.75,0.7,0.6944444444444444,0.0,0.0,0.0,1
0.34375,0.7142857142857143,0.7,0.7222222222222222,0.0,0.0,0.0,1
0.34375,0.75,0.7,0.6944444444444444,0.0,0.0,0.0,1
0.34375,0.7142857142857143,0.7,0.7222222222222222,0.0,0.0,0.0,1
0.34375,0.75,0.7,0.6944444444444444,0.0,0.0,0.0,1
0.34375,0.75,0.7,0.6944444444444444,0.0,0.0,0.0,1
0.34375,0.75,0.7,0.6944444444444444,0.0,0.0,0.0,1
0.34375,0.75,0.7,0.6944444444444444,0.0,0.041666666666666664,0.0,1
0.4375,0.8214285714285714,0.775,0.8055555555555556,0.1,0.125,0.125,1
0.46875,0.75,0.8,0.8055555555555556,0.15,0.125,0.125,1
0.4375,0.8571428571428571,0.775,0.7777777777777778,0.1,0.16666666666666666,0.125,1
0.4375,0.8214285714285714,0.775,0.8055555555555556,0.15,0.125,0.125,1
0.5625,0.8571428571428571,0.875,0.8888888888888888,0.25,0.25,0.25,1
0.5625,0.8571428571428571,0.875,0.8888888888888888,0.25,0.25,0.25,1
0.4375,0.75,0.75,0.75,0.1,0.125,0.125,1
0.3125,0.6428571428571429,0.625,0.6111111111111112,0.0,0.0,0.0,1
0.3125,0.6428571428571429,0.625,0.6111111111111112,0.0,0.0,0.0,1
0.3125,0.6071428571428571,0.625,0.6388888888888888,0.0,0.0,0.0,1
0.3125,0.6428571428571429,0.625,0.6111111111111112,0.0,0.0,0.0,1
0.3125,0.6428571428571429,0.625,0.6111111111111112,0.0,0.0,0.0,1
0.5625,0.7857142857142857,0.85,0.8333333333333334,0.25,0.25,0.25,1
0.40625,0.75,0.7,0.6944444444444444,0.1,0.125,0.125,1
0.40625,0.7142857142857143,0.7,0.7222222222222222,0.1,0.125,0.125,1
0.40625,0.7142857142857143,0.7,0.7222222222222222,0.1,0.125,0.125,1
0.40625,0.75,0.7,0.6944444444444444,0.1,0.16666666666666666,0.125,1
0.78125,0.7857142857142857,0.975,0.6388888888888888,0.425,0.2916666666666667,0.0625,1
0.40625,0.75,0.7,0.6944444444444444,0.15,0.125,0.125,1
0.28125,0.5357142857142857,0.55,0.5277777777777778,0.0,0.041666666666666664,0.0,1
0.5,0.75,0.75,0.75,0.25,0.25,0.25,1
0.4375,0.5714285714285714,0.775,0.5555555555555556,0.25,0.25,0.25,1
0.375,0.6428571428571429,0.625,0.6111111111111112,0.15,0.16666666666666666,0.125,1
0.5625,0.75,0.9,0.5555555555555556,0.725,0.08333333333333333,0.0625,1
0.375,0.6071428571428571,0.675,0.4444444444444444,0.225,0.875,0.25,1
0.3125,0.42857142857142855,0.625,0.5555555555555556,0.325,0.25,0.5625,1
0.40625,0.6071428571428571,0.65,0.4444444444444444,0.225,0.875,0.25,1
0.4375,0.42857142857142855,0.6,0.7777777777777778,0.525,0.5833333333333334,0.25,1
0.46875,0.5714285714285714,0.675,0.19444444444444445,0.275,0.20833333333333334,0.375,1
0.4375,0.8214285714285714,0.825,0.6666666666666666,0.125,0.4583333333333333,0.375,1
0.65625,1.0,0.875,0.5,0.425,0.375,0.4375,1
0.3125,0.5,0.45,0.1111111111111111,0.075,0.75,0.4375,1
0.46875,0.32142857142857145,0.05,0.0,0.975,0.9166666666666666,0.9375,0
0.5,0.2857142857142857,0.0,0.0,1.0,0.625,0.875,0
0.46875,0.2857142857142857,0.0,0.08333333333333333,0.925,0.7916666666666666,0.9375,0
0.5,0.2857142857142857,0.025,0.0,0.85,0.875,0.8125,0
0.84375,0.2857142857142857,0.0,0.0,1.0,1.0,0.75,0
0.46875,0.2857142857142857,0.0,0.0,0.775,0.9583333333333334,0.75,0
0.53125,0.32142857142857145,0.025,0.08333333333333333,0.95,0.7083333333333334,0.9375,0
0.5,0.2857142857142857,0.0,0.0,0.9,0.8333333333333334,0.4375,0
0.5625,0.2857142857142857,0.075,0.1388888888888889,0.925,0.75,0.8125,0
0.46875,0.2857142857142857,0.05,0.027777777777777776,0.925,0.75,0.6875,0
0.4375,0.2857142857142857,0.025,0.08333333333333333,0.8,1.0,0.5,0
0.5,0.2857142857142857,0.025,0.05555555555555555,0.85,0.75,0.5,0
0.59375,0.32142857142857145,0.075,0.027777777777777776,0.925,0.8333333333333334,0.625,0
0.46875,0.2857142857142857,0.0,0.027777777777777776,0.825,0.4583333333333333,0.9375,0
0.5,0.17857142857142858,0.0,0.0,0.8,0.625,0.8125,0
0.59375,0.32142857142857145,0.075,0.0,0.85,0.75,0.875,0
0.5625,0.2857142857142857,0.0,0.0,0.675,0.7083333333333334,0.875,0
0.53125,0.25,0.0,0.08333333333333333,0.75,0.7083333333333334,0.875,0
0.46875,0.2857142857142857,0.0,0.0,0.825,0.4583333333333333,0.8125,0
0.4375,0.2857142857142857,0.0,0.16666666666666666,0.95,0.5833333333333334,0.6875,0
0.5,0.32142857142857145,0.075,0.0,1.0,0.4583333333333333,0.625,0
0.46875,0.32142857142857145,0.1,0.05555555555555555,0.9,0.75,0.5,0
0.5,0.2857142857142857,0.0,0.0,0.875,0.5,0.375,0
0.5,0.2857142857142857,0.05,0.0,0.65,0.875,0.5,0
0.5625,0.32142857142857145,0.075,0.05555555555555555,0.95,0.8333333333333334,0.375,0
0.46875,0.25,0.025,0.0,0.75,0.6666666666666666,0.5,0
0.5,0.2857142857142857,0.075,0.1111111111111111,0.95,0.5833333333333334,0.375,0
0.625,0.42857142857142855,0.025,0.0,0.9,0.8333333333333334,0.25,0
0.5,0.32142857142857145,0.05,0.08333333333333333,0.925,0.375,0.6875,0
0.5625,0.35714285714285715,0.075,0.027777777777777776,0.775,1.0,0.625,0
0.5,0.35714285714285715,0.125,0.0,0.85,0.5833333333333334,0.8125,0
0.5625,0.25,0.0,0.0,0.85,0.5,0.4375,0
0.5,0.21428571428571427,0.075,0.027777777777777776,0.925,0.4166666666666667,0.5625,0
0.5,0.32142857142857145,0.075,0.1111111111111111,0.675,1.0,0.5625,0
0.5,0.2857142857142857,0.075,0.1111111111111111,0.925,0.7083333333333334,0.3125,0
0.5625,0.2857142857142857,0.025,0.05555555555555555,0.9,0.5,0.6875,0
0.4375,0.21428571428571427,0.1,0.027777777777777776,0.875,0.5833333333333334,0.625,0
0.53125,0.35714285714285715,0.075,0.027777777777777776,0.775,1.0,0.625,0
0.5,0.35714285714285715,0.0,0.0,0.725,0.75,0.375,0
0.5,0.21428571428571427,0.05,0.08333333333333333,0.85,0.75,0.25,0
0.53125,0.32142857142857145,0.075,0.05555555555555555,0.9,0.5,0.625,0
0.3125,0.2857142857142857,0.0,0.0,0.775,0.5,0.75,0
0.3125,0.2857142857142857,0.0,0.0,0.775,0.5,0.75,0
0.4375,0.2857142857142857,0.0,0.0,0.8,0.5,0.4375,0
0.40625,0.2857142857142857,0.0,0.0,0.375,1.0,0.75,0
0.5,0.32142857142857145,0.025,0.0,0.9,0.2916666666666667,0.4375,0
0.40625,0.2857142857142857,0.1,0.16666666666666666,0.95,0.625,0.5,0
0.40625,0.2857142857142857,0.0,0.0,0.825,0.6666666666666666,0.5,0
0.53125,0.21428571428571427,0.075,0.0,0.825,0.6666666666666666,0.6875,0
0.5625,0.2857142857142857,0.05,0.1388888888888889,0.8,0.7916666666666666,0.5,0
0.53125,0.35714285714285715,0.075,0.0,0.775,0.75,0.4375,0
0.4375,0.2857142857142857,0.0,0.0,0.75,0.5416666666666666,0.4375,0
0.5,0.32142857142857145,0.05,0.027777777777777776,0.675,0.75,0.625,0
0.53125,0.35714285714285715,0.025,0.0,0.775,0.4583333333333333,0.5625,0
0.53125,0.35714285714285715,0.025,0.0,0.775,0.4583333333333333,0.5625,0
0.53125,0.32142857142857145,0.075,0.0,0.9,0.5833333333333334,0.625,0
0.4375,0.25,0.0,0.1111111111111111,0.775,0.625,0.75,0
0.46875,0.35714285714285715,0.2,0.0,0.825,0.8333333333333334,0.6875,0
0.96875,0.2857142857142857,0.0,0.05555555555555555,1.0,1.0,0.0,0
0.53125,0.32142857142857145,0.15,0.05555555555555555,0.875,0.4583333333333333,0.875,0
0.5625,0.2857142857142857,0.1,0.0,0.9,0.5833333333333334,0.625,0
0.40625,0.2857142857142857,0.0,0.0,0.925,0.25,0.375,0
0.46875,0.2857142857142857,0.075,0.08333333333333333,0.9,0.5833333333333334,0.8125,0
0.53125,0.2857142857142857,0.025,0.2222222222222222,1.0,0.16666666666666666,0.75,0
0.40625,0.32142857142857145,0.1,0.08333333333333333,0.85,0.5,0.625,0
0.53125,0.2857142857142857,0.025,0.0,1.0,0.08333333333333333,0.25,0
0.625,0.2857142857142857,0.0,0.0,0.9,0.16666666666666666,0.625,0
0.53125,0.39285714285714285,0.2,0.0,0.85,0.7083333333333334,0.5625,0
0.53125,0.2857142857142857,0.15,0.08333333333333333,0.825,0.5833333333333334,0.5625,0
0.71875,0.32142857142857145,0.25,0.0,0.875,0.7083333333333334,0.75,0
0.46875,0.2857142857142857,0.15,0.0,0.7,0.8333333333333334,0.5625,0
0.625,0.35714285714285715,0.125,0.08333333333333333,0.8,0.8333333333333334,0.5,0
0.46875,0.39285714285714285,0.125,0.05555555555555555,0.825,0.7083333333333334,0.5625,0
0.4375,0.35714285714285715,0.025,0.16666666666666666,0.725,0.625,0.875,0
0.4375,0.39285714285714285,0.075,0.08333333333333333,0.875,0.6666666666666666,0.4375,0
0.34375,0.32142857142857145,0.1,0.0,0.8,0.5833333333333334,0.4375,0
0.5625,0.2857142857142857,0.175,0.027777777777777776,0.75,0.6666666666666666,0.6875,0
0.625,0.5,0.25,0.1111111111111111,0.925,0.875,0.6875,0
0.5,0.21428571428571427,0.0,0.05555555555555555,0.775,0.3333333333333333,0.5,0
0.5,0.32142857142857145,0.225,0.05555555555555555,0.875,0.5833333333333334,0.75,0
0.59375,0.25,0.125,0.08333333333333333,0.775,0.8333333333333334,0.5,0
0.4375,0.2857142857142857,0.0,0.0,0.375,0.9583333333333334,0.375,0
0.375,0.2857142857142857,0.0,0.0,0.675,0.4583333333333333,0.5,0
0.40625,0.32142857142857145,0.1,0.1111111111111111,0.825,0.5416666666666666,0.75,0
0.28125,0.32142857142857145,0.0,0.0,0.75,0.5,0.4375,0
0.5,0.35714285714285715,0.1,0.05555555555555555,0.725,0.5,0.5,0
